,loss,accuracy,AUPRC,AUROC,run_type
0,0.109789483249,0.967094242573,0.903287649155,0.968219220638,training
1,0.153880298138,0.956743776798,0.827986419201,0.929756939411,validation
2,0.164292946458,0.953552365303,0.817271232605,0.926802873611,test
0,0.00334114255384,0.999261677265,0.999749600887,0.999988675117,training
1,0.0591925606132,0.987432658672,0.857659697533,0.939474463463,validation
2,0.0462155975401,0.98857241869,0.888466238976,0.960449039936,test
0,0.0024954106193,0.999308764935,0.974537789822,0.999801039696,training
1,0.00955038610846,0.997081518173,0.735329627991,0.953471958637,validation
2,0.00851904135197,0.997915267944,0.775906920433,0.962492108345,test
