,loss,accuracy,AUPRC,AUROC,run_type
0,0.111082598567,0.966391980648,0.902625977993,0.968528449535,training
1,0.159896627069,0.952782988548,0.82511651516,0.929047226906,validation
2,0.156544134021,0.954594731331,0.828810572624,0.929790318012,test
0,0.00504288310185,0.999490976334,0.999861001968,0.999994039536,training
1,0.0368009284139,0.988675951958,0.911234378815,0.972895145416,validation
2,0.0291291903704,0.992475926876,0.935780882835,0.985096156597,test
0,0.00830590445548,0.99767935276,0.773199439049,0.974185049534,training
1,0.0123343933374,0.996873021126,0.574481904507,0.960701942444,validation
2,0.0100251147524,0.99739408493,0.703738987446,0.957575976849,test
