,loss,accuracy,AUPRC,AUROC,run_type
0,0.0872500091791,0.972399294376,0.935262978077,0.981358528137,training
1,0.170998260379,0.953408360481,0.812839865685,0.924913227558,validation
2,0.170165106654,0.955157577991,0.82223290205,0.921212077141,test
0,0.000189956292161,1.0,1.0,1.0,training
1,0.0124265803024,0.995543658733,0.991645038128,0.999595880508,validation
2,0.0546684116125,0.989305734634,0.892611861229,0.952296555042,test
0,0.00649415981025,0.998200535774,0.838117003441,0.986530065536,training
1,0.010249494575,0.997289955616,0.662509262562,0.962938964367,validation
2,0.011247116141,0.997081398964,0.655445635319,0.948439478874,test
