,loss,accuracy,AUPRC,AUROC,run_type
0,0.0991758853197,0.969497144222,0.918240368366,0.974738717079,training
1,0.150977611542,0.958411514759,0.847459614277,0.933877766132,validation
2,0.1656422019,0.954261183739,0.822507798672,0.922518849373,test
0,0.0051414235495,0.999075114727,0.999659836292,0.999984741211,training
1,0.0235013570637,0.992132842541,0.955394208431,0.996743083,validation
2,0.0475278124213,0.985977232456,0.873174369335,0.964320838451,test
0,0.0106924269348,0.997108817101,0.686959207058,0.973136842251,training
1,0.0122755384073,0.996351897717,0.643272638321,0.948372960091,validation
2,0.0126303508878,0.996956288815,0.619373083115,0.950456678867,test
