,loss,accuracy,AUPRC,AUROC,run_type
0,0.109457187355,0.966732144356,0.902916491032,0.968240559101,training
1,0.158841952682,0.954867601395,0.830867230892,0.927574336529,validation
2,0.157285541296,0.954865753651,0.829218447208,0.930448591709,test
0,0.000189600861631,1.0,1.0,1.0,training
1,0.0814306810498,0.990443110466,0.85005158186,0.922063648701,validation
2,0.0457053296268,0.989618182182,0.908825755119,0.959434688091,test
0,0.0063828821294,0.998260915279,0.846685051918,0.987234473228,training
1,0.0104170264676,0.997289955616,0.71513569355,0.950688540936,validation
2,0.00807125028223,0.997769355774,0.779312372208,0.974078893661,test
