,loss,accuracy,AUPRC,AUROC,run_type
0,0.175582379103,0.941298484802,0.822080731392,0.9351978302,training
1,0.188191950321,0.938294768333,0.794163763523,0.920318007469,validation
2,0.187035292387,0.939501345158,0.798147261143,0.917249679565,test
0,0.00587432552129,0.999399423599,0.999463796616,0.999966681004,training
1,0.0225609000772,0.988576471806,0.964459776878,0.998178422451,validation
2,0.0337218977511,0.989980638027,0.919534265995,0.985644996166,test
0,0.00308936065994,0.999270319939,0.97002851963,0.998558878899,training
1,0.00765872467309,0.997706890106,0.80664563179,0.986845612526,validation
2,0.00925003550947,0.9977902174,0.792089760303,0.955644130707,test
