,loss,accuracy,AUPRC,AUROC,run_type
0,0.134580656886,0.958069562912,0.86624443531,0.952916204929,training
1,0.15098811686,0.952678740025,0.829598844051,0.931973159313,validation
2,0.161147385836,0.950717151165,0.816221058369,0.929286837578,test
0,0.00323314731941,0.99976927042,0.999899804592,0.999995529652,training
1,0.0492173731327,0.985637366772,0.887255191803,0.972317218781,validation
2,0.0507897771895,0.987869203091,0.868558526039,0.959230303764,test
0,0.00799093395472,0.997898817062,0.790156006813,0.977651834488,training
1,0.0124123524874,0.996664583683,0.582495570183,0.947049021721,validation
2,0.0114705311134,0.996998012066,0.659947395325,0.946182727814,test
