,loss,accuracy,AUPRC,AUROC,run_type
0,0.144950315356,0.952819347382,0.849018573761,0.94822961092,training
1,0.164872273803,0.947467148304,0.809980630875,0.929705500603,validation
2,0.174833416939,0.946339249611,0.797340095043,0.924121439457,test
0,0.00101917143911,1.0,1.0,1.0,training
1,0.0256605762988,0.994638085365,0.938682615757,0.987246155739,validation
2,0.0315560586751,0.991583406925,0.940183579922,0.980443537235,test
0,0.00951840076596,0.997635483742,0.748622238636,0.980325758457,training
1,0.010296988301,0.997498452663,0.728985667229,0.981202483177,validation
2,0.012311632745,0.997164785862,0.664706110954,0.955999970436,test
