,loss,accuracy,AUPRC,AUROC,run_type
0,0.13125218451,0.959287464619,0.86886459589,0.954744160175,training
1,0.164437159896,0.950385630131,0.813565969467,0.922242641449,validation
2,0.16314278543,0.950592041016,0.814614653587,0.924885392189,test
0,0.00591312907636,0.998243331909,0.998380720615,0.99992454052,training
1,0.0568362139165,0.987697720528,0.889169752598,0.950380265713,validation
2,0.0421178974211,0.987199723721,0.900954961777,0.973351538181,test
0,0.00408421177417,0.998699784279,0.920132875443,0.992876529694,training
1,0.00816122908145,0.997915387154,0.808888196945,0.976171791553,validation
2,0.00873214192688,0.997977793217,0.771061062813,0.949471890926,test
