,loss,accuracy,AUPRC,AUROC,run_type
0,0.160534530878,0.946477353573,0.81864875555,0.935945034027,training
1,0.179219186306,0.939858257771,0.785622954369,0.91984796524,validation
2,0.176446035504,0.942440807819,0.787726759911,0.915409505367,test
0,0.00236102472991,0.999814927578,0.999977827072,0.999999046326,training
1,0.03592800349,0.988675951958,0.921432077885,0.975153923035,validation
2,0.0316744223237,0.991076111794,0.935509383678,0.983819067478,test
0,0.00889526028186,0.997668385506,0.747151851654,0.970432221889,training
1,0.0133362747729,0.996873021126,0.557883024216,0.915446698666,validation
2,0.0109827592969,0.997185647488,0.655572295189,0.947901129723,test
