,loss,accuracy,AUPRC,AUROC,run_type
0,0.101357989013,0.969184458256,0.915575563908,0.97214281559,training
1,0.16230019927,0.955076098442,0.827780544758,0.922331154346,validation
2,0.159637674689,0.955178439617,0.825942397118,0.928517222404,test
0,0.00286524440162,0.999815165997,1.0,1.0,training
1,0.0335496813059,0.990443110466,0.919095873833,0.963289320469,validation
2,0.0306108538061,0.991729736328,0.932919740677,0.977014243603,test
0,0.00264277495444,0.99929779768,0.974698662758,0.997487008572,training
1,0.00912653654814,0.997706890106,0.729233622551,0.964582741261,validation
2,0.00793720129877,0.998269677162,0.808256030083,0.952000319958,test
