,loss,accuracy,AUPRC,AUROC,run_type
0,0.116953201592,0.964833915234,0.894004046917,0.964947879314,training
1,0.143943697214,0.959558069706,0.835458159447,0.938486754894,validation
2,0.157272607088,0.954427957535,0.823765039444,0.927728116512,test
0,0.000284022011328,1.0,0.999999940395,1.0,training
1,0.0937451049685,0.986326336861,0.846708714962,0.921906650066,validation
2,0.0539722144604,0.988924026489,0.899859905243,0.954617083073,test
0,0.00273454585113,0.999199032784,0.963428914547,0.997407913208,training
1,0.0118408184499,0.997706890106,0.717504262924,0.9096544981,validation
2,0.00786314345896,0.997998654842,0.797620177269,0.960575222969,test
