,loss,accuracy,AUPRC,AUROC,run_type
0,0.0487327352166,0.983898222446,0.976606845856,0.994344651699,training
1,0.200596183538,0.956952273846,0.819947481155,0.92198830843,validation
2,0.221877560019,0.952989518642,0.805716276169,0.90565341711,test
0,0.00179611518979,0.999861657619,0.999987542629,0.999999523163,training
1,0.0695634111762,0.984503209591,0.859146356583,0.931576609612,validation
2,0.0523389875889,0.987517595291,0.897106826305,0.974257528782,test
0,0.0083330841735,0.997673869133,0.774072229862,0.969691038132,training
1,0.0135493706912,0.997185766697,0.569092273712,0.915947496891,validation
2,0.0115662775934,0.997164785862,0.648017823696,0.93631029129,test
