,loss,accuracy,AUPRC,AUROC,run_type
0,0.128721371293,0.959419131279,0.875736057758,0.958815634251,training
1,0.150909945369,0.955909967422,0.84132874012,0.935574293137,validation
2,0.158370867372,0.952259838581,0.824236154556,0.929184317589,test
0,0.00318492017686,0.998751401901,0.999829053879,0.999992787838,training
1,0.034134272486,0.990384638309,0.927369773388,0.966371655464,validation
2,0.0675457492471,0.98773008585,0.864331364632,0.934493780136,test
0,0.0220170188695,0.995205104351,0.147565722466,0.869029819965,training
1,0.0214183274657,0.99520534277,0.229418084025,0.865773200989,validation
2,0.021533280611,0.995225965977,0.125694170594,0.878856778145,test
