,loss,accuracy,AUPRC,AUROC,run_type
0,0.085833966732,0.973556876183,0.936171889305,0.981034934521,training
1,0.164189308882,0.956535339355,0.829872846603,0.930105030537,validation
2,0.172646313906,0.955074191093,0.817492604256,0.922974526882,test
0,0.00356859783642,0.999768972397,0.999976456165,0.999998986721,training
1,0.0271756350994,0.99200707674,0.945617496967,0.985265672207,validation
2,0.034669354558,0.99036103487,0.917705178261,0.975526452065,test
0,0.0135080413893,0.996028065681,0.57668453455,0.960427224636,training
1,0.0136345662177,0.99603921175,0.47624206543,0.96628588438,validation
2,0.0147390356287,0.995955646038,0.518236100674,0.946014404297,test
